Card,Strain,Matching Criteria,Description
three of wands,Y-Griega,"Happy, Energetic, Earthy, Woody, Flowery, sativa","Also known as simply “Y,” the 80% sativa Y Griega is an energizing strain with a sweet floral, citrus aroma. Unusual for a sativa variety, Y Griega produces large, resin-coated buds on tall stalks. This sativa cross between Amnesia Haze and Kali Mist delivers an energetic cerebral buzz followed by a long-lasting calm that soothes both mind and body. Y Griega’s high THC content makes it suitable for a variety of conditions including pain, inflammation, glaucoma, fatigue, and appetite loss. Growers won’t be disappointed with Y Griega’s yields, but its 85 to 95-day flowering time requires some devotion and patience."
three of wands,Alaska,"Relaxed, Sleepy, Earthy, Woody, Pine, sativa","Alaska, developed by Tikun Olam, is an Israeli strain comprised of 70% sativa genetics. With uplifting effects intended for daytime consumption, Alaska has been found to successfully treat an array of medical symptoms including inflammation, pain, nausea, insomnia, and gastrointestinal disorders. "
three of wands,3D-Cbd,"Uplifted, Focused, Earthy, Woody, Flowery, sativa","3D CBD from Snoop Dogg’s branded line of cannabis strains was crafted with patients in mind. With a THC:CBD ratio of about 5:8, this earthy-flavored sativa is preferred for treating pain, inflammation, and muscle tension. Consumers susceptible to THC-induced anxiety may also appreciate the sobering, relaxing balance CBD has to offer."
three of wands,Outlaw,"Euphoric, Uplifted, Earthy, Woody, Spicy/Herbal, sativa","Outlaw is a high-intensity strain bred by Dutch Passion, who combined Super Haze and Amnesia to create this 80% sativa. It inherits a sweet aroma from its Haze parent, intermixing fresh earthiness with sour lemon. Outlaw’s initial impact comes quickly and powerfully, but evens out to an uplifting, clear-headed buzz over time. With a THC content that typically falls between 15-20%, Outlaw may help patients treat glaucoma, inflammation, depression, migraines, and ADD/ADHD. Outlaw’s breeders recommend growing this sativa using the screen of green (SCROG) method with a 12-week flowering in order to capture its full flavor."
three of wands,Jack-Herer,"Happy, Uplifted, Earthy, Pine, Woody, sativa","Jack Herer is a sativa-dominant cannabis strain that has gained as much renown as its namesake, the marijuana activist and author of The Emperor Wears No Clothes. Combining a Haze hybrid with a Northern Lights #5 and Shiva Skunk cross, Sensi Seeds created Jack Herer hoping to capture both the cerebral elevation associated with sativas and the heavy resin production of indicas. Its rich genetic background gives rise to several different variations of Jack Herer, each phenotype bearing its own unique features and effects. However, consumers typically describe this 55% sativa hybrid as blissful, clear-headed, and creative.Jack Herer was created in the Netherlands in the mid-1990s, where it was later distributed by Dutch pharmacies as a recognized medical-grade strain. Since then, the spicy, pine-scented sativa has taken home numerous awards for its quality and potency. Many breeders have attempted to cultivate this staple strain themselves in sunny or Mediterranean climates, and indoor growers should wait 50 to 70 days for Jack Herer to flower."
four of wands,Golden-Tiger,"Talkative, Uplifted, Minty, Lemon, Apricot, sativa","Golden Tiger is a resinous flower created from two Thai strains and two separate Malawi cuts. Bred by Ace Seeds, this pure sativa flower is a complex blend of Koh Chang Thai and Hmong Thai crossed with Malawi and 3rd Generation Malawi. This powerful sativa is not for beginners, as it offers long-lasting stimulating effects often with a potent psychedelic bent. With a terpene profile that is bright with notes of floral spice and tart lemon, its vigorous physical and mental effects make this a sativa of the highest caliber. This strain’s long sativa lineage comes with a long 11 to 14 week flowering time."
four of wands,Supa-Don,"Uplifted, Creative, Spicy/Herbal, Sweet, Apricot, sativa","Supa Don is a 70% sativa strain bred from Oregon Trainwreck (also called “The Don”) and DJ Short Blueberry. Its dark, forest green buds carry a distinct blueberry aroma and a heavy coat of crystal resin. Due to the high amount of the terpene beta-caryophyllene, Supa Don is known to calm anxieties while lifting depression. "
four of wands,Tropical-Tang,"Happy, Focused, Citrus, Apricot, Skunk, hybrid",None
four of wands,Beast-Mode-Og,"Relaxed, Euphoric, Pine, Apricot, Earthy, hybrid","Beast Mode OG is a proprietary strain of cannabis distributed by Green Umbrella, a Seattle-based delivery service. When the grower, Zion Gardens, first received the strain they believed it was a Girl Scout Cookies cut, but after growing it out it became apparent that this strain was either an exceptional phenotype of OG Kush or it was an OG-dominant hybrid of some kind. The strain was dubbed Beast Mode OG after tasting and testing showed that the potent effects induced a powerful punch similar to the running style of NFL Running Back Marshawn Lynch, nicknamed Beast Mode. The popularity of the strain was amplified to celebrity status as Seattle’s football team claimed its first championship following the 2013 season. The strain itself stays true to OG genetics with a pungent, piney Kush aroma that provides a balance between indica and sativa effects. Beast Mode OG is a great mood elevator and serves as a great answer to stress and body pain."
four of wands,Sour-Breath,"Creative, Energetic, Diesel, Apricot, Pine, sativa","Sour Breath is an odiferous sativa-dominant strain from parent strains Lamb’s Bread and Sour Diesel. This strain imbues consumers with uplifting mental effects and stimulating physical effects that prompt activity. The sour, fuel-forward terpene profile of Sour Breath makes it loud out of the jar, so be prepare for a room-filling aroma. Enjoy Sour Breath throughout the day, but mind your dosage as anxiety is a possible side effect after heavy consumption, especially in unseasoned consumers.  "
five of wands,Blush,"Talkative, Creative, Pepper, Honey, Earthy, hybrid","Blush by Gastown is a balanced hybrid strain with uplifting cerebral effects and relaxing physical attributes. This strain tends to symptoms of depression by elevating the consumer’s mood with an intense, smile-inducing euphoria. This smiley head-high slowly dissolves into the body, saddling the limbs with a calming weight that allows the consumer to relax and relinquish stressful thoughts. Enjoy Blush near the end of the day to maximize its stress relieving qualities.    "
five of wands,Elmers-Glue,"Hungry, Relaxed, Sage, Pepper, Sweet, hybrid","Elmer’s Glue by Relentless Genetics is an embellishment of the potent and famous Gorilla Glue #4. This strain is a cross of Gorilla Glue #4 and The White, and it is considered by some to be an improvement on GG4’s flavor and trichome production. Elmer’s Glue retains the sharp pine, astringent, and fuel aromas of its dominant parent while expressing more subtle sweet, earthy notes on the exhale. Beyond this strain’s incredible trichome coverage, the height, yield, and flowering time are relatively average. "
five of wands,Longbottom-Leaf,"Euphoric, Happy, Pepper, Sweet, Spicy/Herbal, hybrid","Longbottom Leaf is the name of the pipe-weed the hobbits of Middle Earth would enjoy between meals. This sweet, slightly stimulating sativa-dominant hybrid is a mix of Jack’s Cleaner and SFV OG. Longbottom Leaf hits the head immediately, delivering lung expansion and a mental sizzle that settles into the body and leaves the consumer in state of alert tranquility. These latent OG elements make Longbottom Leaf an excellent functional option for patients seeking daytime relief from minor physical discomfort. The crystalline buds exhibit notes of citrus and celery, while the flavor is tart and musky.   "
five of wands,One-To-One,"Focused, Hungry, Earthy, Woody, Pepper, hybrid","Named for its equal balance of THC and CBD, One to One by CBD Seeds is a stabilized hybrid bred from Amnesia Haze and a high-CBD landrace strain. Its nuanced citrus notes come out strong from the first opening of the jar until the final exhale. With effects that embrace both the mind and body, One to One delivers blissful relaxation that encourages a positive mood. One to One finishes its flowering cycle after 8 to 9 weeks, or in September for outdoor gardens."
five of wands,Blue-Ivy,"Relaxed, Focused, Earthy, Pepper, Blueberry, hybrid","You may have 99 problems but Blue Ivy ain’t one. Named after the newborn child of musicians Jay-Z and Beyonce, this hybrid's effects are clearly indica-dominant and of impressive potency, with favorable blueberry undertones. "
six of wands,Cirrus,"Uplifted, Happy, Diesel, Menthol, Grape, sativa","Cirrus by Oregon Cannabis Authority is a high-potency Candyland phenotype. This heady sativa-dominant strain has been known to achieve a THC percentage north of 26% and emits ripe, fuel-like overtones underpinned by musky earth. Cirrus’s buds are decorated in golden hairs and glittering trichomes, exhibiting hints of purple that speak to the strain’s Granddaddy Purple lineage. Anticipate a relaxed body buzz that helps center and focus the mind while reducing pain and gently enhancing mood. Its clear-headed buzz and kind physical effects make it an ideal companion throughout the day in the right dosage.   "
six of wands,Middlefork-X-Pineapple-Express,"Happy, Euphoric, Pineapple, Sweet, Grape, sativa","Middlefork x Pineapple Express is a 75% sativa strain from western Washington that combines the best of both parents: a pungent pineapple aroma and heavy resin production. Notes of berry and earthiness accent the dominant fruity aroma of this strain, bringing fragrant intricacy to this sativa hybrid. Bliss and euphoria overcome the mind, lulling you into a deep sense of calm and contentment. In addition to its rich terpene profile, Middlefork x Pineapple Express typically demonstrates a high cannabinoid content that can stretch beyond 20% THC."
six of wands,Oregon-Pinot-Noir,"Relaxed, Euphoric, Grape, Sweet, Diesel, sativa","This Hawaiian Purple Kush and Pitbull cross was bred among the grapes of a respected Pinot Noir vineyard in Oregon. Taking its name from the breeding location and its deep purple buds, this versatile plant gives off the taste of sweet grapes with a spicy hint of Haze. Though a 80/20 sativa-dominant strain, Oregon Pinot Noir gives the effects of a couch-locking indica, providing a noticeable body high best served for nighttime consumption."
six of wands,Emerald-Jack,"Happy, Uplifted, Earthy, Grape, Pine, sativa","Two highly touted strains harmonize to form the flavorful, sativa-driven hybrid Emerald Jack. Jack Herer, with its amazing spectrum of earthy flavors and heady effects, combines with the pungent sour aromas of Emerald OG to give life to Emerald Jack’s unique terpene profile. Its aroma is a vivid mix of earthy and pine zest that excites the senses and forms flavors of skunky citrus upon exhale. The resulting effects are uplifting, energetic, and are known to inspire creativity. Many chose Emerald Jack for daytime use and its ability to maintain productivity and a clear head."
six of wands,Purple-Champagne,"Uplifted, Focused, Sweet, Grape, Earthy, sativa","Purple Champagne is a sativa-dominant cannabis strain bred by Grand Daddy Purp, who crossed a rare sativa phenotype of his famous Granddaddy Purple with Pink Champagne (AKA Phantom). The main appeal of Purple Champagne is her vibrant bud coloration, but sativa lovers will also appreciate the heady, mood-lifting effects this strain has to offer. "
seven of wands,Organic-Diesel,"Uplifted, Happy, Diesel, Pungent, Tobacco, hybrid",None
seven of wands,Franks-Gift,"Relaxed, Happy, Skunk, Woody, Tobacco, hybrid","Frank’s Gift is a phenomenal phenotype of Skunk Haze that has been known to generate upwards of 20% CBD. This strain delivers a nearly mythological ratio of CBD/THC that lends itself to a variety of medical uses associated with physical discomfort, inflammation, and anxiety. Though Frank’s Gift has predominantly appeared in Oregon, it’s slowly being disseminated throughout the West Coast.   "
seven of wands,Sweet-Nina,"Happy, Relaxed, Diesel, Skunk, Tobacco, hybrid","Sweet Nina by Colorado Seed Inc. is a hybrid cross of Hindu Kush and Nina Limone. Nina Limone (another CO Seed Inc. cut) offers a bright citrus flavor and aroma while imbuing the consumer with a keen mental alertness. This mental energy finds a counterbalance in Hindu Kush, which offers soothing body effects that mellow the consumer into a state of physical relaxation. Sweet Nina is ideal for patients seeking relief from nausea, physical discomfort, and stress.  "
eight of wands,Golden-Calyx,"Relaxed, Uplifted, Sweet, Citrus, Tropical, sativa","Golden Calyx by Calyx Garden in a sativa-dominant cross of a Platinum Calyx father and a Golden Goat mother. The Golden Calyx phenotype was chosen for its unique expression of the best attributes of its parent. This includes a mind-boggling aroma of piña colada, bubble gum, and lavender alongside uplifting physical effects that help stave off fatigue and nausea. Golden Calyx produces a healthy yield over its 8 to 9 week flowering cycle. "
eight of wands,Jahwaiian,"Aroused, Creative, Sweet, Tropical, Earthy, sativa","Jahwaiian by Pua Mana 1st Hawaiian Pakalōlō Seed Bank is a tropical mashup of two legendary strains. By combining Lamb’s Bread genetics sourced directly from Nine Mile, St. Anne’s, Jamaica, and the “Sweet Lady of Waiāhole” (AKA Hawai’i ‘78), Pua Mana crafted an uplifting strain that harnesses the tropical vibes and aromas distinct to the Hawaiian and Caribbean coastlines. Jahwaiian’s effects are stimulating, delivering plenty of energy to the body. Also anticipate a manageable headiness that encourages self-reflection. This strain may help curb depression and fatigue while encouraging physical activity."
eight of wands,Blue-Magic,"Relaxed, Focused, Citrus, Lemon, Tropical, sativa","Blue Magic is an upbeat sativa-dominant strain bred from the famous Blue Dream. Its high-energy effects are prefaced by creamy, fruity flavors reminiscent of its Blueberry ancestry. Sativa enthusiasts will appreciate the balance of potency and clarity delivered by Blue Magic, whose euphoria offers functionality and focus despite an impressive THC profile. While its initial punch is quick to hit, Blue Magic’s effects taper down gently and ease you into long-lasting relaxation that extends from the physical exterior to the deep recesses of your mind."
eight of wands,The-Blood,"Uplifted, Aroused, Earthy, Pungent, Tropical, sativa","The Blood is a Hawaiian landrace phenotype that appears so rarely that it has gained a mythological status among growers. The Blood was given its name for the red veins found in its stems and leaves, and the deep red sap that flows from them. The Pua Mana 1st Hawaiian Pakalōlō Seed Bank’s Kona Gold “Blood” phenotype and other “Blood” phenotypes are believed to be a sign from Ke Akua (God), blessing the grower and signaling an abundant harvest."
eight of wands,Pineapple-Punch,"Creative, Aroused, Tropical, Pineapple, Sweet, sativa","Pineapple Punch by Flying Dutchmen is a 70/30 sativa-dominant strain that unites Skunk #1 genetics with those of the Hawaiian indica Real McCoy. As suggested by the name, Pineapple Punch delivers a medley of pineapple, tropical citrus, and sweet floral flavors, while the uplifting, lighthearted effects provide a vacation from stress and bad moods. This sativa’s mellow and functional effects make it a great choice for getting out to social gatherings or appreciating nature."
nine of wands,Chicle,"Aroused, Euphoric, Ammonia, Diesel, Mint, hybrid","Chicle (aka Bubbledawg) by T.H. Seeds is an award-winning flower with plentiful resin production. This commonsense cross of Bubble Gum and Chemdawg yields beautiful green buds knotted in copper hairs and covered in glittering resin. This flower’s large resin glands and vigorous growth make it ideal for producing hash or cannabis concentrates. Chicle won 1st place Resin at 2015 Expogrow in Irun, Spain as well as 3rd place Resin at the Spannabis Champions Cup in Barcelona. Chicle’s bouquet is a mixture of sweet Bubblegum and fuel-forward terpenes.      "
nine of wands,Spyder-Mon,"Uplifted, Creative, Citrus, Earthy, Sweet, hybrid","Spyder Mon is an uplifting CBD strain with a good lineage, getting its manageable euphoria and anti-inflammatory effects from Midnight Farm’s Super Skunk and Florin Wellness Center’s Charlotte’s Web. This combo delivers a 2.5:1 CBD/THC ratio that soothes the body while improving the mood. Its effects are mostly clear-headed that lend themselves to all day use. The aroma is fresh, exhibiting notes of citrus and pine. Utilize Spyder Mon to help reduce inflammation, nausea, headaches, and minor physical aches and pains."
nine of wands,Hawaiian-Trinity,"Talkative, Uplifted, Sweet, Tropical, Flowery, hybrid","Hawaiian Trinity by Pua Mana 1st Hawaiian Pakalolo Seed Bank is a sativa-dominant hybrid created by crossing the legendary Kona Gold and Trinity. It has a unique terpene profile that smells like burnt rubber tires, tropically flavored taffy, and a hint of unnamable funkiness. This odd aroma gives way to tropical and earthy flavors that linger on the tongue well after exhale. Hawaiian Trinity sprouts large frosty colas and tends to offer consumers an intense physical rush that mellows out into a deeply sedating body high.  "
nine of wands,Loyality,"Tingly, Relaxed, Pungent, Citrus, Earthy, hybrid","Loyalty is an indica-dominant hybrid bred by TSL Farms in Los Angeles. This Animal Pie and OG Kush cross shows off its uniquely colored buds with purple hues throughout. Consumers look to this strain to get creative, and it may also provide relief from migraines, pain, and stress."
nine of wands,Mangolicious,"Uplifted, Focused, Sweet, Tropical, Pineapple, indica","Mangolicious is an indica-dominant cross of Big Bud and White Widow. This cut expresses a tropical aroma and robust bud structure. It has a relatively speedy flowering time and a generous yield thanks to its Big Bud genetics. Mangolicious’s full-body effects and pleasant mango smell speak to potentially high levels of myrcene, a terpene known for its weighted “couchlocking” effect."
ten of wands,Snowland,"Relaxed, Sleepy, Earthy, Lemon, Flowery, hybrid","A limited edition release from DNA Genetics, SnowLAnd is a cross of Snowcap and LA Confidential created in an attempt to tame the huge size of Snowcap while still producing large yields of potent, highly-resinous flowers. Most phenotypes are compact indica-like plants with extremely dense buds and flavors ranging from fruit to diesel to sandalwood. Reports indicate that SnowLAnd is very strong with a long lasting, balanced high."
one of cups,Secret-Garden-Og,"Euphoric, Talkative, Flowery, Lavender, Honey, indica","Secret Garden OG is a Colorado Seed Inc. masterpiece. This OG strain is incredibly relaxing and dedicated to Kush fans everywhere. The blend of Lavender parentage against a Ghost OG Moonshine x Rug Burn OG foretells the weight this strain applies to muscles throughout the body. With a unique aroma that leans toward the therapeutic, Secret Garden OG offers a cozy sense of well-being that extends to mood elevation and pain relief.    "
one of cups,Grandpas-Breath,"Relaxed, Euphoric, Earthy, Flowery, Lavender, indica","Grandpa’s Breath is a semi-sedative indica-dominant strain that provides functional relaxation. This special cut combining parent strains OG Kush and Granddaddy Purple was bred by Dungeons Vault Genetics, and it emits pungent, earthy terpenes with a little fruitiness intermixed. Grandpa’s Breath has an above average yield, but also tends to take a touch longer to flower. Utilize Grandpa’s Breath in the evening to maximize the deep relaxation central to its effects.    "
one of cups,Green-Love-Potion,"Creative, Hungry, Spicy/Herbal, Lavender, Sweet, indica","Green Love Potion is an 80/20 indica-dominant strain that is surprisingly functional. This particular cut grows into a bouquet of green and purple leaves that emits an odor denoting its Lavender parentage. With a relatively clear-headed buzz, this strain works well for indica lovers seeking euphoria and a comforting relaxation in the body without being sedative. Patients prefer Green Love Potion for enhancing the mood and remedying mild physical pain. "
one of cups,Lavender,"Relaxed, Happy, Lavender, Flowery, Sweet, indica","Built from strains around the world, Lavender by Soma Seeds has its origins from Super Skunk, Big Skunk Korean and Afghani Hawaiian. This strain, sometimes referred to as Lavender Kush, has dense buds that give off a floral and spicy aroma. It has a dark purple coloration at the ends of its leaves."
one of cups,Deadwood,"Happy, Talkative, Berry, Lavender, Earthy, indica","Deadwood is potent indica cross between Bubba Kush and Sweet Pink Grapefruit. These robust indica strains come together to create good medicine for those suffering from insomnia, anxiety, and chronic pain. The aroma is sweet and skunky with spicy notes on the finish. Use Deadwood in the evening, as its effects will ground all future plans. Expect heavy sedation, weight on the eyelids and muscles, and a stone-solid buzz.   "
two of cups,Royal-Dwarf,"Happy, Relaxed, Skunk, Honey, Lemon, hybrid","Royal Dwarf is a full-body hybrid bred by Royal Queen Seeds in Spain through crossing Skunk with a cannabis ruderalis variety. The result is a stout plant that autoflowers in a short 6 to 7 weeks with dark, crystal-sugared buds. Its effects quickly branch throughout the body, inducing head-to-toe relaxation that’s more physical than cerebral."
three of cups,Kandahar,"Relaxed, Sleepy, Apricot, Earthy, Spicy/Herbal, indica","Kandahar, named after the homeland of its ancestor, is a 90% indica strain bred by the Ministry of Cannabis. Its Afghani parent, grown near the city of Kandahar, was crossed with an unknown Afghan Skunk hybrid to help lighten some of the indica intensity. The result is a powerful but functional strain that goes best with relaxing activities at home. Its aroma is a complex blend of earthy wood with nutty undertones that are only fully realized in Kandahar’s taste. Kandahar exhibits the typical indica stature: short, bushy plants with thick layers of crystal trichomes. Indoor gardens finish flowering between 8 and 9 weeks, while outdoor harvest falls at the beginning of October."
four of cups,Caramel-Kona-Coffee-Kush,"Relaxed, Uplifted, Coffee, Vanilla, Woody, indica","Caramel Kona Coffee Kush is a flavorful, alliterative cross by Pua Mana 1st Hawaiian Pakalōlō Seed Bank. This sweet wahine is luscious on the palate and heavy on the body, draping the limbs in cushy, weighted relaxation. CKC Kush’s Caramel Kush mother gives this strain its predominant flavor and physical effects, but the strain’s Kona Gold father shines through in latent spicy undertones and heady mental buzz. Noted as one of the most delicious strains in the Pua Mana archives, Caramel Kona Coffee Kush is a perfect strain to shrug off stress and treat yourself at the end of the day.  "
four of cups,Vanilla-Kush,"Relaxed, Happy, Vanilla, Sweet, Flowery, indica","This indica strain comes from Barney’s Farm in Amsterdam and clinched 2nd place overall at the 2009 High Times Cannabis Cup for the coffee shop and seed company. Bred from Afghan and Kashmir strains, this Kush beauty is a gift to the senses with her notes of vanilla, lavender, and a hint of citrus. Plants flower in 8 weeks and produce large, soft flowers that are light green with hints of orange. This strain has a high THC content often measuring over 20%, making it a potent choice that might be strong for new users."
six of cups,Crazy-Miss-Hyde,"Uplifted, Happy, Sweet, Vanilla, Butter, hybrid","Crazy Miss Hyde is a surprisingly balanced hybrid given her name. She is a lively combination of the uplifting, sativa-dominant Belladona and the powerhouse indica Northern Lights. The buds deliver a potent mixture of earthy flavors like menthol and chocolate with a sweet vanilla influence. The effects tend to be focused in the head, with thought provoking stimulation and creativity that can border on anxiety when over-consumed. With the right dosing the indica influence levels out the effects of Crazy Miss Hyde and induces a relaxing sense of euphoria."
six of cups,Grandmas-Batch,"Euphoric, Happy, Butter, Lemon, Flowery, hybrid","Grandma’s Batch by Purple Caper Seeds is a cross between Candyland and Girl Scout Cookies. This savory strain emits a sweet gas aroma while tasting sweet and doughy on the palate. The breeder has described the strain as “warm and fuzzy,” offering pleasant and relaxing physical effects suited to a day indoors. "
six of cups,Eugene-Cream,"Relaxed, Sleepy, Sweet, Earthy, Butter, hybrid","Eugene Cream is an indica-dominant strain grown by Drift Away Farm. Named for its light color and smooth smoke, Eugene Cream inherits its characteristics from a Hash Plant/Big Bud hybrid and a female plant called Queen. Several years of selective breeding gave rise to the stable phenotype that now circulates the Oregon market."
six of cups,Cashus-Clay,"Uplifted, Euphoric, Earthy, Pungent, Butter, hybrid","Cashus Clay, also called Cash Kush, is a clone-only strain from THClones. This flavorful cross is a triumvirate of potent genetics, including True OG, Bubble Gum, and Master Kush. This trio combines rich berry terpenes and pleasurable body effects against a powerful mind expanding euphoria. Even with this strain’s deep indica lineage, the breeder swears by its focused, motivating qualities thus classifying it as a hybrid. Utilize Cashus Clay throughout the day, but mind your dosage. This potent strain can be potentially sedative for the inexperienced consumer.  "
six of cups,Belladonna,"Happy, Sleepy, Peach, Earthy, Butter, hybrid",Belladonna is a mostly sativa strain that also carries good indica characteristics making for a very nice hybrid.  A faster flowering time than typical sativa strains makes Belladonna a favorite among growers.  With a fruity smell and a trippy high Paradise Seeds has bred a winner.
seven of cups,Island-Haze,"Creative, Uplifted, Sweet, Berry, Blueberry, sativa","Island Haze is an uplifting sativa with euphoria and creativity on tap. This strain is a cross of Cannalope Haze and Blue Jam (Atomic Haze x Blueberry), giving this strain a double dose of fruity terpenes and Haze genetics. Known for its happy mental state and whimsical creativity, this strain’s effects can assist with depression and fatigue. The bright fruit-forward aroma also makes this strain a crowd pleaser and welcome addition to sunny days outdoors."
seven of cups,Hashplant-Haze,"Happy, Uplifted, Blueberry, Sweet, Orange, sativa","The uplifting high of the Hashplant Haze is enjoyable throughout the day due to it's being a sativa dominant strain. The taste is that of fruity, hashy, haziness that comes from DNA Genetics by crossing California Hash Plant and Cannalope Haze.  "
seven of cups,Santa-Sativa,"Sleepy, Happy, Blueberry, Berry, Flowery, sativa","Santa Sativa by Dinafem Seeds is 70/30 sativa-dominant strain with a complex aroma. Reeking of lemons, cedar, pine, and incense, Santa Sativa delivers an elevated terpene profile consumers will fawn over. These unique terpenes are created from the combination of Haze #1 and a Skunk/Northern Lights cross, blending an uplifting buzz with mellow euphoria that lingers between the ears. Santa Sativa grows long, dense jade green buds that finish flowering in about 10 weeks."
seven of cups,Legendary-Lemon,"Aroused, Euphoric, Apricot, Chemical, Blueberry, sativa","Legendary Lemon is a sativa-dominant strain that blends two Mexican speed demons, Zacatecas and Oaxaca, with two zesty zingers, Lemon Skunk and Lemon Kush. This tangy bud hits hard with a strong cerebral buzz and offers whimsical euphoria that makes consumers feel light on their feet. Enjoy this strain to defeat depression or to frontload strong mood enhancing effects. The flavor has been described as “rich lemon custard.' "
eight of cups,Ultra-Banana,"Sleepy, Tingly, Ammonia, Lemon, Pineapple, indica","Ultra Banana is a delicious, sleep-inducing cross of MK Ultra and Banana Kush. MK Ultra possesses strong indica-dominant genetics, including OG Kush and G13, which are amplified by the sweet and floral elements of Banana Kush. This sedating combination lays into the body, weighing the consumer down with potent relaxation ideal for late evenings. Enjoy Ultra Banana to help relieve restlessness, anxiety, and general pain while stimulating introspective thought.    "
nine of cups,Thunderbird-Rose,"Euphoric, Uplifted, Rose, Sweet, Earthy, sativa","Thunderbird Rose is a sativa strain bred by Kotton for Rebel Spirit Cannabis of Eugene, Oregon. This strain produces large lime green buds that express engorged trichome-covered calyxes and crimson pistils. Thunderbird Rose is a generous producer that has a healthy resistance to mold and pests. The aroma is floral with notes of deep green forest, fuel, and blueberry. Thunderbird Rose is an uplifting and euphoric cross that arouses creativity and enhances mood. "
